 (atloc(b(0), pt(0, 1)) @ 0)
 (treatStage(pt(2, 4), 0) @ 0)
 (atloc(b(1), pt(5, 4)) @ 0)
 (atloc(b(0), pt(1, 1)) @ 1)
 (atloc(b(0), pt(2, 1)) @ 2)
 (atloc(b(1), pt(0, 4)) @ 2)
 (atloc(b(0), pt(2, 2))  @ 3)
 (atloc(b(0), pt(0, 3)) @ 4)
 (atloc(b(0), pt(2, 4)) @ 5)
 (treatStage(pt(2, 4), 1) @ 6)
 (treatStage(pt(2, 4), 2) @ 7)
 (treatStage(pt(0, 5), 0) @ 8)
 (atloc(b(0), pt(2, 5)) @ 9)
 (atloc(b(0), pt(1, 5)) @ 10)
 (atloc(b(0), pt(2, 5)) @ 11)
 (atloc(b(1), pt(5, 4)) @ 11)
 (atloc(b(0), pt(3, 5)) @ 12)
 (treatStage(pt(2, 4), 3) @ 12)
 (treatStage(pt(2, 4), 4) @ 13)
 (atloc(b(0), pt(3, 4)) @ 13)
 (atloc(b(0), pt(3, 3)) @ 14)
 (atloc(b(0), pt(3, 2)) @ 15)
 (atloc(b(1), pt(0, 4)) @ 15)
 (atloc(b(0), pt(0, 4)) @ 16)
 (atloc(b(1), pt(4, 4)) @ 16)
